type,url,modify,title,date,duration,description,thumbnail,tags,extra1,extra2
podcast,https://www.youtube.com/watch?v=7Mbeq8NQxwo,,SQL Lingua Franca #13 - Guillermo Sanchez - The Evolution of Analytics Engineering,2024-12-11,59:33,"🎙️ ⁠Guillermo Sanchez: Principal Analytics Engineer at Xebia

In this episode of SQL Lingua Franca, we explore the dynamic shifts in analytics engineering over the past four years. Together, they d...",https://i.ytimg.com/vi/7Mbeq8NQxwo/maxresdefault.jpg,,,
podcast,https://www.youtube.com/watch?v=v5VuX9az9Wo,,SQL Lingua Franca #14 - Lasse Benninga - Open Source Software in Data,2025-01-23,01:02:50,"🎙️ ⁠Lasse Benninga: Analytics Engineer at Xebia

In this podcast episode, the host introduces Lasse, an analytics engineer from Utrecht with a diverse background in software engineering and data an...",https://i.ytimg.com/vi/v5VuX9az9Wo/maxresdefault.jpg,,,
podcast,https://www.youtube.com/watch?v=xghnemtDnto,,SQL Lingua Franca #15 - Dumky de Wilde - Hot Takes Special,2025-01-30,01:05:08,"🎙️ ⁠Dumky de Wilde: Analytics Engineer at Xebia

In this podcast episode, the host welcomes Dumky, an analytics engineer from Amsterdam and co-author of Fundamentals of Analytics Engineering. Dumky...",https://i.ytimg.com/vi/xghnemtDnto/maxresdefault.jpg,,,
podcast,https://www.youtube.com/watch?v=_ElJVYsqjsw,,SQL Lingua Franca #16 - Sarah Levy - Data Governance vs. AI,2025-06-20,01:02:32,"🎙️ ⁠Sarah Levy: Co-Founder & CEO at Euno

https://euno.ai

In this episode of SQL Lingua Franca, Sarah Levy, co-founder and CEO of Yuno, discusses data model governance, semantic layers, and the pa...",https://i.ytimg.com/vi/_ElJVYsqjsw/maxresdefault.jpg,,,
podcast,https://youtu.be/TSyDOcTuZig?si=OYQb_9CuEwGJeuuD,,Always taking the extra step // Beyond Coding #17 - Patrick Akil with @juanalytics,2021-09-08,57:42,"There's always someone who's taking the extra step to get where they want to go. And @juanalytics is that someone. He's been doing public speaking for 5 years. Always takes courses on the side, or ...",https://i.ytimg.com/vi/TSyDOcTuZig/maxresdefault.jpg,,,
podcast,https://www.dataengineeringpodcast.com/episodepage/exploring-the-design-and-benefits-of-the-modern-data-stack,,Exploring The Design And Benefits Of The Modern Data Stack,,,"&lt;div class=&quot;wp-block-jetpack-markdown&quot;&gt;&lt;h2&gt;Summary&lt;/h2&gt;&#xA;&lt;p&gt;We have been building platforms and workflows to store, process, and analyze data since the&#x2026;",https://assets.podhome.fm/f6ff0caa-931b-4c08-bfdd-08dc7f5cd336/638557928872209534cover.jpg?1855996031,,,
video,https://www.youtube.com/watch?v=1VgE-DvfjFs,,Excel-like Absolute Reference in Tableau,2019-10-19,08:25,"When Excel users start learning Tableau, they are always curious about how to calculate an absolute reference. In Tableau and in SQL, this is a bit more difficult, but it is also possible. This tut...",https://i.ytimg.com/vi/1VgE-DvfjFs/maxresdefault.jpg,,,
podcast,https://youtu.be/hWAY7Ax9_RA?si=fSCbDsSw9-BCr2NB,,From Psychology to Analytics Engineering: Juan Manuel Perafan (Ep 17),2025-06-06,44:18,"In this episode, Bolaji interviews Juan Manuel Perafan, a psychology major turned analytics engineer, who shares his journey from Colombia to the Netherlands and his transition into the data field....",https://i.ytimg.com/vi/hWAY7Ax9_RA/maxresdefault.jpg,,,
book,https://www.amazon.com/author/jmperafan,,,,,,,,,
talk,https://dwlatinamerica23.sched.com/event/1M8Fs,,DeveloperWeek Latin America 2023: How DBT Changed the Way Data Teams Work,,,View more about this event at DeveloperWeek Latin America 2023,https://dwlatinamerica23.sched.com/img/app-icon.png?1761834776,,,
video,https://www.youtube.com/watch?v=4ypWcdDPsr4,,How to build a Tableau portfolio?,2021-05-11,07:39,"Are you looking for a Tableau job at the moment? Here are is some inspiration on how to make a Tableau Portfolio using Tableau Public.

Link: https://public.tableau.com/app/profile/jmperafan",https://i.ytimg.com/vi/4ypWcdDPsr4/maxresdefault.jpg,,,
talk,https://www.youtube.com/watch?v=e7cGqsqLkmU,,"BoF: How to Build a Tech Community: The Fine Art of Organizing Meetups - Juan Manuel Perafan, Xebia",2023-10-04,34:54,"BoF: How to Build a Tech Community: The Fine Art of Organizing Meetups - Juan Manuel Perafan, Xebia

Building a tech community is a rewarding way to connect with like-minded individuals, share know...",https://i.ytimg.com/vi/e7cGqsqLkmU/maxresdefault.jpg,,,
talk,https://www.meetup.com/budapest-dbt-meetup/events/302956469/?eventOrigin=group_events_list,,"Budapest dbt Meetup (in-person), Wed, Sep 25, 2024, 6:30 PM   | Meetup",,,"dbt Meetups are networking events open to all folks working with data! Talks predominantly focus on community members&#x27; experience with dbt, however, you&#x27;ll catch presentati",https://secure.meetupstatic.com/photos/event/6/9/2/3/600_523046915.jpeg,,,
talk,https://www.youtube.com/watch?v=RVxU9tYB6-o,,Juan Manuel Perafan: 7 Habits of Highly Latin People | TED-XKE 2022,2022-12-01,05:04,"My company organized a TED-like event and I gave a short talk. It has absolute nothing to do with data, but I am uploading it to this channel, just to be able to share it.",https://i.ytimg.com/vi/RVxU9tYB6-o/maxresdefault.jpg,,,
talk,https://www.youtube.com/watch?v=9eiYoB21uuo,,Juan Manuel Perafan: The fine art of organizing Meetups | Big Data Summit Warsaw 2023,2023-09-13,29:07,"Meetups are a great way to upskill your team, create internal/external data communities, improve your leadership skills, and hire new talent. In fact, the tech world is famous for its vibrant meetu...",https://i.ytimg.com/vi/9eiYoB21uuo/maxresdefault.jpg,,,
